DATE,OBSERVER,SPECIES,PLOT,HEIGHT,TIME
2019-08-23,Bethany,M,1,1.07,
2019-08-23,Bethany,M,2,2.38,
2019-08-23,Bethany,M,3,2.39,
2019-08-23,Bethany,M,4,2.36,
2019-08-23,Bethany,M,5,2.5,
2019-08-23,Bethany,BC,1,0.67,
2019-08-23,Bethany,BC,2,1.54,
2019-08-23,Bethany,BC,3,1.83,
2019-08-23,Bethany,BC,4,1.76,
2019-08-23,Bethany,BC,5,1.93,
2019-08-23,Justin,M,1,1.11,
2019-08-23,Justin,M,2,2.38,
2019-08-23,Justin,M,3,2.48,
2019-08-23,Justin,M,4,2.47,
2019-08-23,Justin,M,5,2.51,
2019-08-23,Justin,BC,1,0.66,
2019-08-23,Justin,BC,2,1.61,
2019-08-23,Justin,BC,3,1.8,
2019-08-23,Justin,BC,4,1.75,
2019-08-23,Justin,BC,5,1.86,
2019-08-28,Megan,ES,1,0.73,4:40
2019-08-28,Megan,ES,2,1.85,4:40
2019-08-28,Megan,ES,3,2.45,4:40
2019-08-28,Megan,ES,4,2.5,4:40
2019-08-28,Megan,ES,5,2.5,4:40
2019-08-28,Yu,ES,1,0.75,3:50
2019-08-28,Yu,ES,2,2,3:50
2019-08-28,Yu,ES,3,2.3,3:50
2019-08-28,Yu,ES,4,2.35,3:50
2019-08-28,Yu,ES,5,2.6,3:50
2019-08-28,Coralie,ES,1,0.85,2:52
2019-08-28,Coralie,ES,2,1.97,2:52
2019-08-28,Coralie,ES,3,2.45,2:52
2019-08-28,Coralie,ES,4,2.55,2:52
2019-08-28,Coralie,ES,5,2.5,2:52
2019-08-28,Matt,ES,1,0.86,1:16
2019-08-28,Matt,ES,2,2.31,1:16
2019-08-28,Matt,ES,3,2.78,1:16
2019-08-28,Matt,ES,4,2.94,1:16
2019-08-28,Matt,ES,5,3.05,1:16
2019-08-28,Ed,ES,1,0.75,2:52
2019-08-28,Ed,ES,2,2.05,2:52
2019-08-28,Ed,ES,3,2.35,2:52
2019-08-28,Ed,ES,4,2.47,2:52
2019-08-28,Ed,ES,5,2.38,2:52
2019-08-28,Deepak,CP,1,0.42,2:20
2019-08-28,Deepak,CP,2,0.39,2:20
2019-08-28,Deepak,CP,3,0.57,2:20
2019-08-28,Deepak,CP,4,0.49,2:20
2019-08-28,Deepak,CP,5,0.48,2:20
2019-08-28,Coralie,CP,1,0.48,2:05
2019-08-28,Coralie,CP,2,0.52,2:05
2019-08-28,Coralie,CP,3,0.6,2:05
2019-08-28,Coralie,CP,4,0.62,2:05
2019-08-28,Coralie,CP,5,0.62,2:05
2019-08-28,Ed,CP,1,0.46,2:38
2019-08-28,Ed,CP,2,0.45,2:38
2019-08-28,Ed,CP,3,0.53,2:38
2019-08-28,Ed,CP,4,0.45,2:38
2019-08-28,Ed,CP,5,0.47,2:38
2019-08-28,Matt,CP,1,0.53,1:05
2019-08-28,Matt,CP,2,0.66,1:05
2019-08-28,Matt,CP,3,0.74,1:05
2019-08-28,Matt,CP,4,0.68,1:05
2019-08-28,Matt,CP,5,0.74,1:05
2019-08-28,Sandra,CP,1,0.585,2:36
2019-08-28,Sandra,CP,2,0.48,2:36
2019-08-28,Sandra,CP,3,0.56,2:36
2019-08-28,Sandra,CP,4,0.55,2:36
2019-08-28,Sandra,CP,5,0.6,2:36
2019-09-18,Bethany,SB,2,0.85,1:10
2019-09-18,Bethany,SB,3,1.06,1:10
2019-09-18,Bethany,SB,4,1.11,1:10
2019-09-18,Bethany,SB,5,1.15,1:10
2019-09-18,Taylor,SB,2,0.82,1:12
2019-09-18,Taylor,SB,3,1.03,1:12
2019-09-18,Taylor,SB,4,1.06,1:12
2019-09-18,Taylor,SB,5,1.08,1:12
2019-09-18,Scott,SB,2,0.88,0:59
2019-09-18,Scott,SB,3,1.1,0:59
2019-09-18,Scott,SB,4,1.1,0:59
2019-09-18,Scott,SB,5,1.14,0:59
2019-09-18,Matt,SB,2,0.83,0:34
2019-09-18,Matt,SB,3,1.08,0:34
2019-09-18,Matt,SB,4,1.07,0:34
2019-09-18,Matt,SB,5,1.13,0:34
2019-09-18,Ed,SB,2,0.73,1:52
2019-09-18,Ed,SB,3,1,1:52
2019-09-18,Ed,SB,4,1.05,1:52
2019-09-18,Ed,SB,5,1.05,1:52
N/A,Matt,BC,1,0.62,N/A
N/A,Matt,BC,2,1.66,N/A
N/A,Matt,BC,3,1.85,N/A
N/A,Matt,BC,4,1.83,N/A
N/A,Matt,BC,5,2.06,N/A
N/A,Taylor,BC,1,0.64,2:40
N/A,Taylor,BC,2,1.45,2:40
N/A,Taylor,BC,3,1.52,2:40
N/A,Taylor,BC,4,1.54,2:40
N/A,Taylor,BC,5,1.6,2:40
N/A,Matt,ZM,1,1.16,2:07
N/A,Matt,ZM,2,2.68,2:07
N/A,Matt,ZM,3,2.71,2:07
N/A,Matt,ZM,4,2.78,2:07
N/A,Matt,ZM,5,2.73,2:07
N/A,Taylor,ZM,1,0.89,2:40
N/A,Taylor,ZM,2,2.5,2:40
N/A,Taylor,ZM,3,2.58,2:40
N/A,Taylor,ZM,4,2.56,2:40
N/A,Taylor,ZM,5,2.5,2:40
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
