DATE,SPECIES,PLOT_ID,N_PLANTS,LEAF_AREA,LP1,LP2,LP3,LP4
8/29/2019,CP,1,1,2077.57,,,,
8/29/2019,CP,2,1,3266.65,,,,
8/29/2019,CP,3,1,6472.94,,,,
8/29/2019,CP,4,1,5141.89,,,,
8/29/2019,CP,5,1,4689.96,,,,
8/29/2019,ES,1,5,6478.68,2707.76,3770.92,,
8/29/2019,ES,2,5,18441.48,4349.35,4784.7,9307.43,
8/29/2019,ES,3,5,19272.37,3151.66,3785,9191.31,3144.4
8/29/2019,ES,4,5,19539.81,4558.55,3101.99,7785.63,4093.64
8/29/2019,ES,5,5,21379.915,2320.32,4606.395,6606.75,7846.45
8/19/2019,BC,1,3,2009.35,,,,
8/19/2019,BC,2,3,3239.18,,,,
8/19/2019,BC,3,3,6424.28,,,,
8/19/2019,BC,4,3,4533.78,,,,
8/19/2019,BC,5,3,3988.66,,,,
8/19/2019,M,1,3,4602.2,,,,
8/19/2019,M,2,3,13855.67,,,,
8/19/2019,M,3,3,16372.2,,,,
8/19/2019,M,4,5,25946.74,1486.88,8611.65,14470.25,1377.96
8/19/2019,M,5,3,13458.3,,,,
